Title,Product,Application ,Defect ID,Core Patch/Charts,Custom ms/Module/VM/Orchestration Zip,Comments/Instructions,Commit ID,Dependency,Released,Release Date,Item Type,Path
15.5.00,D1,OC,ITR15.5 Baseline,"

Care HF#80","
NA","
NA","
c78222d8139
",NA,TRUE,7/9/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.00,C1,C1,ITR15.5 Baseline,"
C1 HF#12","
NA","
NA","
35643133c71
",NA,TRUE,7/9/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.00,D1;#R1;#C1,OC;#OH;#C1;#RTB,ITR15.5 Baseline,"Common Services HF#5
","
NA","
NA","
e2c54d39882
",NA,TRUE,7/9/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.00,D1;#R1;#C1,OC;#OH;#C1;#RTB,ITR15.5 Baseline,"MPP HF#119
","
NA","
NA","
0a77e8dda8e
",NA,TRUE,7/9/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.00,C1,C1,PI15.4 C1 Zip Files,NA,"
NA","
BP:
cb-export/CatalogOne_BackUps/PI15/ITR15.5/Drop_22_12/Business_Parameter_rel155_9_7_2023_16_6_15_Drop22_12_PI15.5.zip
FD:
 cb-export/CatalogOne_BackUps/PI15/ITR15.5/Drop_22_12/FD_rel155_9_7_2023_16_6_21_Drop22_12_PI15.5.zip","
NA",NA,TRUE,7/9/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.00,MMap,MMAP,CDEX-238512,"
No","
NA",Deploy indexes from VM folder 15.5.13.,NA,NA,TRUE,7/9/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.00,D1,OH,CDEX-238831,"
NA","
NA","
NA","
b263517ff08
",NA,TRUE,7/9/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.00,D1,OH,CDEX-238810,"
?NA
","
?NA
","
?NA
","
a4b472a49d7
",NA,TRUE,7/9/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.01,R1,RTB,BSSE-69866,"
?NA
","
?NA
","
?For now, this change is only for QE env. This change will be taken to PET/SNP/Prod only after PI15 code base is taken in production.

PI15 RN will contain ONLY this changes, no other changes can be taken along with this change.
Verify if configs are updated post the deployment of RTB pipeline in app-customerbill-billdataextract configmap. **This is the first RN to be deployed for the featureBSSE-68250
","
?4d2231b27a4
",,TRUE,7/9/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.03,R1,RTB,BSSE-69868,"
?NA
","
?NA
","
?Check if last eventId of  FinalizedBill topic is present in FinalizedBill_v4 topic and last eventId of productOrderFutureOrderItemNotification topic is present in FutureProductOrderItemChangeEventTopic_v4_0  topic. If yes then deploy this RN in next deployment window.
 
We can deploythis RN only after RN 15.5.02 is deployed in env. So, it can be taken in QE/Prod in next deployment window after RN2 is deployed.
 
 
For now, thischange is only for QE env. This change will be taken toSNP/Prod only after PI15 code base is taken in production.
 
PI15 RN will  contain ONLY this changes, no other changes can be taken along with this change.
 
Verifiy if configs are updated post the deployment of RTB pipeline in app-customerbill-acbrimpactevent and app-customerbill-customerbill config maps
 
 ** This is the Third RN to be released as part ofBSSE-68250
","
?974de23f00b
 e454ed83b83
",RN 15.5.02,TRUE,7/9/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.02,R1,RTB,BSSE-69867,"
?NA
","
?NA
","
?We can deploy this RN onlyafter few hours/days/month after RN 15.5.01 is deployed. So, it can be taken in QE/Prod in next deployment window after RN 1 is deployed.


 
For now, this change isONLY for QE env.This change will be taken to PET/SNP/Prod only after PI15 code base is taken in production.
 
PI15 RN will ONLY contain this changes, no other changes can be taken along with this change.
 
Verifiy if configs are updated post the deployment of RTB pipeline in app-customerbill-acbrimpactevent and app-customerbill-customerbill config maps
 ** This is the SECOND RN to be released as part ofBSSE-68250
","
?1db0065e62e
 ca74d3424ef
",RN 15.5.01,TRUE,7/9/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.04,NEO,OUA,CDEX- 218724,"
attbsse-aua-10.4.5-prd15.5
ms360-security-10.7.79-25
nap-common-10.6.368
persistence-10.7.242-3
platform-10.7.193-33platform-config-10.7.87-7","
Build:http://os-delivery-jenkins:8080/job/Delivery/job/ATT_AUA/job/att/job/prd15.5/5/
Orchestration Zip:http://os-delivery-nexus:8081/repository/att.yum.snapshot/com/amdocs/oss/aua/attbsse/orchestration/10.4.0.0.0-prd15.5-SNAPSHOT/orchestration-10.4.0.0.0-prd15.5-20230707.144148-4-src.zip
","
Reference Env:
 Master IP=10.247.147.167
 Node1 IP =10.247.147.205","
NA",NA,TRUE,7/10/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.04,MMap,MMAP,CDEX-238880,"
No","
15.5.14
",Version has been corrected.,"
NA",NA,TRUE,7/10/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.04,MMap,MMAP,CDEX-237183,"
No","
15.5.13
",Fixed the logic in stored procedure to calculate the measures.,"
NA",NA,TRUE,7/10/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.04,MMap,MMAP,CDEX-239791,"
No","
No","
To fix the issue we need to deploy latest NR BPM docker image.
BPM image: 9.4.5.2058","
NA",NA,TRUE,7/10/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.05-Do not Deploy,D1,OC,BSSE- 76340  BSSE-73899 -Do not Deploy,"
NA","
productorder-wrapper:15.5.6
","
Do not Deploy","
e7757f6a2c2
",NA,FALSE,7/11/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.05,C1,C1,,"
C1 HF#15","
NA","
NA","
db1fc9714c3
",NA,TRUE,7/11/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.05,R1,RTB,,"
RTB HF#83","
NA","
NA","
a9e7fead55a
",NA,TRUE,7/11/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.05,D1,OH,CDEX-238831,"

OH HF#40","
NA","
Including Config change","
5cc8a692087
b4445a702a7
",NA,TRUE,7/11/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.05,D1,OC,,"
OCHF#80
","
NA","
NA","
72d529f4e5d
",NA,TRUE,7/11/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.05,D1,OC,,"
CareHF#82
","
NA","
NA","
8de8f3f0ddd
",NA,TRUE,7/11/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.05,D1,OC,,"
CEHF#10
","
NA","
NA","
1503bfdc82e
",NA,TRUE,7/11/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.05,D1;#C1;#R1,OC;#C1;#OH;#RTB,,"
MPPHF#122
","
NA","
Note: All 3 PLs should be executed in Install Mode ONLY.","
b95b5233213
",NA,TRUE,7/11/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.06,D1,OC,"Reduce MilCy replicas to 1, in NFT envs","
NA","
NA","
NA","
83995438bc5
",NA,TRUE,7/12/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.06,D1,OC,yaml syntax fix,"
NA","
NA","
NA","
e3f5a2ec779
",NA,TRUE,7/12/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.06,MMap,MMAP,CDEX-240253,,"
?15.5.15
","
?Version has been corrected.
","
NA",NA,TRUE,7/9/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.06,MMap,MMAP,CDEX-239519,"
?No
","
?NA
","
?Fix has been provided in new MSTR config file. Please deploy CDEX-239519_Audit Phase - Quick View.mmp from below bitbucket link.
 https://10.88.195.72:8443/projects/AMO/repos/moneymap/browse/devops/att/MSTR?at=refs%2Fheads%2FPI15
","
NA",NA,TRUE,7/12/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.00,BriteBill,BriteBill,ITR15.5 Baseline,"
NA","
NA","
Docs to adopt ED –
Steps to Perform - MS360 ED.docx
 Reference Branch – 
https://10.88.195.72:8443/projects/BRIT/repos/bb-ms360-setup-deployment/browse/env/att-bb-qe03?at=refs%2Fheads%2Fmaster_ed
Once ED is adopted, make these changes in deployment repo for new MSs (bb-billops-dashboard&billexperience-search-ms)
 commit : 4d10df3867e
Configure keycloak realm & configure IB dashboard properties – See attached:IB Dashboard Openid Configuration.pdfbb_jwt_realm.json
reference commit :f5836775280
Once MSs & Couchbase PI15 (with scope & collection structure) is created we need to follow these steps to migrate data from PI 14 CB to this new PI 15 CBSee attached Couchbase Data Migration VM to Pods.pdf
","
15.5 BB MS Release-commit -ed554c38dc1
BB classic version –
2.224.1
Please execute template patching after classic deployment
See attached:
Template Patching Instructions.pdf",NA,TRUE,7/12/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.06,MMap,MMAP,CDEX-239791,No,15.5.15,"
Created new SP to update the CONFIGURATION table with trend refresh details.
","
NA",NA,TRUE,7/12/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.06,C1,C1,CDEX-238766,"
NA","

catalogoneintegration-outboundfilte:15.5.21","
This is only a DEBUG patch, for QE envs.","
a20147ba2a3
",NA,TRUE,7/12/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.07,D1,OC,CDEX-232265,"
NA","

productorder-wrapper:15.5.7","
NA","
71537d15b1d
",NA,TRUE,7/13/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.07,iPaaS,SkyFM,CDEX-237033,,"
?Module :
 Bsse-Smart :

bsse-bootstrap: 5336
 bsse-application: 5337
bsse-fallout-management: 5338bsse-reconciliation: 5339
",,"
?b006b7fd33a
",,TRUE,7/12/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.07,MMap,MMAP,CDEX-239869,"
?No
","
?NA
","
Automated MTI was getting wrong input values for column MTI_PROPERTIES. To fix the issue automated_mti flow has been changed. We need to deploy below NR BPM image in environment.
 NR BPM docker image: 9.4.5.3019
","
?NA
",NA,TRUE,7/12/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.07,MMap,MMAP,CDEX-241007,"
?No
","
?15.5.17
","
?To fix this defect changed the data type of tag from varchar to varchar (max).
","
?NA
",NA,TRUE,7/12/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.08,MMap,MMAP,CDEX-240237,"
?No
","
?15.5.17
","
Columns were removed from view which were causing the issue.
","
?NA
",NA,TRUE,7/16/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.08,MMap,MMAP,CDEX-240257,"
Yes","
NA","
Seploy below mentioned build in environment along with latest NR ATM and BPM docker image for 15.5.
  \\cvstor\Apps-Versions\Releases\9.4.5\MoneyMap\Build 2082 - 14072023_1433\","
?NA
",NA,TRUE,7/16/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.08,R1,RTB,CDEX-235177 CDEX-236974 CDEX-237751,"
RTB HF#89","
NA","
NA","
a05ccff3add
",NA,TRUE,7/16/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.09,BriteBill,BriteBill,"CDEX-193049, CDEX-216075, CDEX-233385 BSSE-60141","
NA","
NA","

Adopt API logger API and Create Jenkins job to run the API logger
Please follow attached  document (BSSE-60141_ChangingLogLevelusingA3SactuatorandCurltool.pdf) to configure/setup Jenkins job for the same.Attached SQL script is required to be run on MySQL database.
 Path: /database/mysql5/history/22.10/upgrade_britebill_22.09_to_22.10.sql
","BB MS Release – fad8bd32063
BB classic version – 2.224.2",NA,TRUE,7/17/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.09,MMap,MMAP,CDEX-240210,"
No","
15.5.18
","
MM_PARAM table updated correctly for impacted SPs.
","
NA",NA,TRUE,7/18/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.09,D1,OC,CDEX-227539,"
OC HF#82","
NA","
NA","
477f120684e",NA,TRUE,7/18/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.09,D1,OH,CDEX-237635,"
OH HF#42","
NA","
NA","
7df8e4dce73
4805af0bc9b
4ca0cd7640b

",,TRUE,7/18/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.09,D1,OC,NA,"
MASS HF#20","
NA","
NA","
ff4ee9e37f5",NA,TRUE,7/18/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.09,D1,OC,NA,"
Care HF#86","
NA","
NA","
bd035f19407
",NA,TRUE,7/18/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.09,R1,RTB,NA,"
RTB HF#90","
NA","
NA","
2d3ea7d3712
",NA,TRUE,7/18/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.09,D1;#C1;#R1,OC;#OH;#RTB;#C1,NA,"
MPP HF#124","
NA","
Note: All 3 PLs should be executed in Install Mode ONLY.
","
cf2676db314
",NA,TRUE,7/18/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.09,MMap,MMAP,CDEX-241019 CDEX-241720,"
No","
15.5.18
","
Length of tag column increased to remove uniqueness.
","
NA",NA,TRUE,7/18/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.09,MMap,MMAP,CDEX-241434,"
No","
15.5.18
","
Updated the control name for the rule.
","
NA",NA,TRUE,7/18/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.10,MMap,MMAP,CDEX-241577,"
No",15.5.20,"
Changed the retention in table period as requested by customer,
DS_CFM_821: from 10 days to 120 daysDS_CFM_824: from 60 days to 120 days","
NA",NA,TRUE,7/20/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.10,NEO,OUA,CDEX- 241723  CDEX- 240129  AKS v1.25 Certified,"
attbsse-aua-10.4.15-prd15.5
ms360-security-10.7.79-25         
nap-common-10.6.368     
persistence-10.7.242-3
platform-10.7.193-33platform-config-10.7.87-7","
Build:http://os-delivery-jenkins:8080/job/Delivery/job/ATT_AUA/job/att/job/prd15.5/15/Orchestration Zip:http://os-delivery-nexus:8081/repository/att.yum.snapshot/com/amdocs/oss/aua/attbsse/orchestration/10.4.0.0.0-prd15.5-SNAPSHOT/orchestration-10.4.0.0.0-prd15.5-20230719.153302-13-src.zip","
Reference Env:
 Master IP=10.247.147.167
 Node1 IP =10.247.147.205
","
NA",NA,TRUE,7/20/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.10,D1,OH,Removing WA in alignment with OH Patch#40: CDEX-238831,"
NA","
NA","
NA","
b4445a702a7
",NA,TRUE,7/20/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.10,MMap,MMAP,CDEX-238756,,"
?15.5.20
","
?This fix is performance enhancement of procedures and function to run the rules faster on the database.
",,,TRUE,7/20/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.10,MMap,MMAP,CDEX-241748 CDEX-242015,"
?Yes
","
?No
","
Deploy below build from core. This build needs to be deployed in DR environment as well.

Name
Type
Location
Tx3
Microservices
https://illin3465:8443/#browse/browse:amo-moneymap:v2%2Ftx3%2Ftags%2Fv9.4.5.2084
Audit
Microservices
https://illin3465:8443/#browse/browse:amo-moneymap:v2%2Fmm-audit%2Ftags%2Fv9.4.5.2084
MGT
Microservices
https://illin3465:8443/#browse/browse:amo-moneymap:v2%2Fmm-mgt%2Ftags%2Fv9.4.5.2084
Nodered BPM
Microservices
https://illin3465:8443/#browse/browse:amo-moneymap:v2%2Fmm-nodered-bpm%2Ftags%2Fv9.4.5.2084
Nodered Automation
Microservices
https://illin3465:8443/#browse/browse:amo-moneymap:v2%2Fmm-nodered-automation%2Ftags%2Fv9.4.5.2084
GUI Build
Windows Application
\\cvstor\Apps-Versions\Releases\9.4.5\MoneyMap\Build   2084 - 20072023_1136\
",,,TRUE,7/20/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.11,iPaaS,SkyFM,CDEX-242551,,"
?Module :
   Sky-Force :    o2aportalui :  7816
",,"
?
9a8da47ca58
",,TRUE,7/21/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.11,MMap,MMAP,CDEX-243430,"
No","
No","
To fix this defect we need to deploy below NR ATM docker image. mm-nodered-automation:v9.4.5.3036 (Browse - Nexus Repository Manager (amdocs.com)","
NA",NA,TRUE,7/24/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.11,BriteBill,BriteBill,CDEX-239964 CDEX-237943,"
NA","
NA","
Please perform template patching after classic deployment, per attached file: Template Patching_CDEX-237943.pdf
","
1113e697891 Platform hybrid release package
 2.224.3",NA,TRUE,7/24/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.11,NEO,OUA,CDEX-243440  CDEX-243596,"
attbsse-aua-10.4.20-prd15.5
ms360-security-10.7.79-25
nap-common-10.6.368
persistence-10.7.242-3
platform-10.7.193-33platform-config-10.7.87-7","
Build:http://os-delivery-jenkins:8080/job/Delivery/job/ATT_AUA/job/att/job/prd15.5/20/Orchestration Zip:http://os-delivery-nexus:8081/repository/att.yum.snapshot/com/amdocs/oss/aua/attbsse/orchestration/10.4.0.0.0-prd15.5-SNAPSHOT/orchestration-10.4.0.0.0-prd15.5-20230724.131831-18-src.zip","
Reference Env:
 Master IP=10.247.147.167
 Node1 IP =10.247.147.205","
NA",NA,TRUE,7/24/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.12,D1,OC,CDEX-244498 ; CDEX-243905,"
OCHF#86
","
NA","
NA","
27082346258
",NA,TRUE,7/25/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.12,D1,OH,NA,"
OHHF#43
","
NA","
NA","
2cce17907da
",NA,TRUE,7/25/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.12,D1,OC,NA,"
CareHF#88
","
NA","
NA","
b6824c4c6c4
",NA,TRUE,7/25/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.12,R1,RTB,CDEX-240662 CDEX-240746,"
RTBHF#92
","
NA","
NA","
df0cb92bb8a
",NA,TRUE,7/25/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.13,MMap,MMAP,CDEX-243569 CDEX-244259,"
?NA
","
?No
","
?To fix this defect DevOps needs to increase webUI pod memory to 32 GB.
",,,TRUE,7/26/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.13,MMap,MMAP,CDEX-242015,"
Yes","
?No
","
Below build from core needs to be deployed in DR env as well.
NameTypeLocationTx3Microserviceshttps://nexus.attmgmt.attbsse.amdocs.com/#browse/browse:amo-moneymap:v2%2Ftx3%2Ftags%2Fv9.4.5.2088AuditMicroserviceshttps://nexus.attmgmt.attbsse.amdocs.com/#browse/browse:amo-moneymap:v2%2Fmm-audit%2Ftags%2Fv9.4.5.2088MGTMicroserviceshttps://nexus.attmgmt.attbsse.amdocs.com/#browse/browse:amo-moneymap:v2%2Fmm-mgt%2Ftags%2Fv9.4.5.2088Nodered BPMMicroserviceshttps://nexus.attmgmt.attbsse.amdocs.com/#browse/browse:amo-moneymap:v2%2Fmm-nodered-bpm%2Ftags%2Fv9.4.5.2084Nodered AutomationMicroserviceshttps://nexus.attmgmt.attbsse.amdocs.com/#browse/browse:amo-moneymap:v2%2Fmm-nodered-automation%2Ftags%2Fv9.4.5.3036GUI BuildWindows Application\\cvstor\Apps-Versions\Releases\9.4.5\MoneyMap\Build   2088 - 25072023_1818\
","
NA",NA,TRUE,7/26/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.13,NEO,OUA,CDEX-244144,"
attbsse-aua-10.4.21-prd15.5
ms360-security-10.7.79-25
nap-common-10.6.368
persistence-10.7.242-3
platform-10.7.193-33platform-config-10.7.87-7","
Build:http://os-delivery-jenkins:8080/job/Delivery/job/ATT_AUA/job/att/job/prd15.5/21/ Orchestration Zip:
http://os-delivery-nexus:8081/repository/att.yum.snapshot/com/amdocs/oss/aua/attbsse/orchestration/10.4.0.0.0-prd15.5-SNAPSHOT/orchestration-10.4.0.0.0-prd15.5-20230726.094759-19-src.zip
","
Reference Env:
 Master IP=10.247.147.167
 Node1 IP =10.247.147.205
","
NA",NA,TRUE,7/26/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
15.5.13,BriteBill,BriteBill,CDEX-242514,"
NA","
NA","
Please perform template patching after classic deployment, per attached doc.
","
Platform hybrid release package
2.224.4.",NA,TRUE,7/26/2023,Item,sites/ATTBSSEvolutionDevTeam/Lists/RN
